city,datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,date
Delhi,2026-08-15 00:00:00,95.2,99.9,1224.0,92.7,58.0,8.0,153,2026-08-15
Delhi,2026-08-15 01:00:00,93.6,97.8,1172.0,91.0,55.7,6.0,153,2026-08-15
Delhi,2026-08-15 02:00:00,94.1,97.6,1101.0,88.8,53.3,4.0,154,2026-08-15
Delhi,2026-08-15 03:00:00,94.5,98.0,971.0,86.7,50.6,0.0,155,2026-08-15
Delhi,2026-08-15 04:00:00,95.7,99.0,822.0,84.2,47.9,0.0,155,2026-08-15
Delhi,2026-08-15 05:00:00,97.1,106.9,762.0,59.1,51.3,26.0,156,2026-08-15
Delhi,2026-08-15 06:00:00,93.4,102.7,890.0,51.6,46.9,42.0,157,2026-08-15
Delhi,2026-08-15 07:00:00,85.2,96.4,1108.0,40.9,40.8,66.0,158,2026-08-15
Delhi,2026-08-15 08:00:00,65.0,77.8,1222.0,31.3,35.7,95.0,159,2026-08-15
Delhi,2026-08-15 09:00:00,52.6,65.7,1127.0,23.8,32.9,132.0,159,2026-08-15
Delhi,2026-08-15 10:00:00,51.0,63.3,929.0,17.2,31.1,173.0,160,2026-08-15
Delhi,2026-08-15 11:00:00,49.5,60.8,757.0,12.3,29.2,204.0,160,2026-08-15
Delhi,2026-08-15 12:00:00,48.8,59.0,652.0,9.3,26.6,218.0,160,2026-08-15
Delhi,2026-08-15 13:00:00,48.4,57.7,574.0,7.9,23.9,222.0,161,2026-08-15
Delhi,2026-08-15 14:00:00,44.9,53.0,526.0,8.4,22.4,219.0,161,2026-08-15
Delhi,2026-08-15 15:00:00,42.7,49.5,491.0,10.4,22.7,211.0,161,2026-08-15
Delhi,2026-08-15 16:00:00,41.0,47.5,486.0,14.3,24.1,196.0,173,2026-08-15
Delhi,2026-08-15 17:00:00,43.8,71.2,570.0,18.5,22.3,156.0,189,2026-08-15
Delhi,2026-08-15 18:00:00,56.5,83.8,838.0,39.6,26.1,120.0,192,2026-08-15
Delhi,2026-08-15 19:00:00,72.9,106.4,1195.0,68.7,31.5,71.0,184,2026-08-15
Delhi,2026-08-15 20:00:00,83.1,120.6,1414.0,91.7,36.2,32.0,163,2026-08-15
Delhi,2026-08-15 21:00:00,90.6,133.6,1380.0,103.2,40.0,13.0,162,2026-08-15
Delhi,2026-08-15 22:00:00,103.6,152.3,1207.0,108.6,43.1,5.0,162,2026-08-15
Delhi,2026-08-15 23:00:00,110.6,162.5,1015.0,108.9,43.9,1.0,162,2026-08-15
Delhi,2026-08-16 00:00:00,104.3,157.4,807.0,103.0,40.9,0.0,163,2026-08-16
Delhi,2026-08-16 01:00:00,94.1,154.6,580.0,92.1,35.7,4.0,163,2026-08-16
Delhi,2026-08-16 02:00:00,92.7,157.4,442.0,81.3,31.5,8.0,163,2026-08-16
Delhi,2026-08-16 03:00:00,91.5,144.4,472.0,72.1,29.5,12.0,163,2026-08-16
Delhi,2026-08-16 04:00:00,77.3,113.6,591.0,63.1,28.5,17.0,163,2026-08-16
Delhi,2026-08-16 05:00:00,65.4,269.2,675.0,17.6,9.4,48.0,162,2026-08-16
Delhi,2026-08-16 06:00:00,74.5,301.7,675.0,17.4,10.2,50.0,161,2026-08-16
Delhi,2026-08-16 07:00:00,82.4,312.0,639.0,16.9,11.3,53.0,161,2026-08-16
Delhi,2026-08-16 08:00:00,87.3,354.8,585.0,15.5,12.3,62.0,161,2026-08-16
Delhi,2026-08-16 09:00:00,96.2,476.8,506.0,12.4,13.1,82.0,161,2026-08-16
Delhi,2026-08-16 10:00:00,92.9,470.3,410.0,8.4,13.8,109.0,163,2026-08-16
Delhi,2026-08-16 11:00:00,75.7,299.9,339.0,5.4,14.2,130.0,164,2026-08-16
Delhi,2026-08-16 12:00:00,68.7,245.9,309.0,3.9,14.1,142.0,165,2026-08-16
Delhi,2026-08-16 13:00:00,66.1,244.9,305.0,3.5,13.7,149.0,165,2026-08-16
Delhi,2026-08-16 14:00:00,68.2,264.5,317.0,4.3,13.8,151.0,166,2026-08-16
Delhi,2026-08-16 15:00:00,68.5,274.7,337.0,6.1,14.2,150.0,166,2026-08-16
Delhi,2026-08-16 16:00:00,66.6,256.1,374.0,9.1,15.1,144.0,167,2026-08-16
Delhi,2026-08-16 17:00:00,91.3,440.5,447.0,16.1,13.0,101.0,168,2026-08-16
Delhi,2026-08-16 18:00:00,95.2,359.5,600.0,28.3,16.5,80.0,169,2026-08-16
Delhi,2026-08-16 19:00:00,106.4,370.7,788.0,44.9,21.3,52.0,170,2026-08-16
Delhi,2026-08-16 20:00:00,105.7,333.4,895.0,55.4,24.5,33.0,171,2026-08-16
Delhi,2026-08-16 21:00:00,92.0,252.4,845.0,53.8,24.5,33.0,172,2026-08-16
